component_id,system_layer,physical_boundary,bandwidth_nominal_GBps,bandwidth_min_GBps,bandwidth_max_GBps,bandwidth_demand_GBps,bandwidth_efficiency,bandwidth_semantics,bandwidth_status,bandwidth_provenance,energy_nominal_pJ_per_bit,energy_min_pJ_per_bit,energy_max_pJ_per_bit,energy_semantics,energy_status,energy_provenance,included_in_system_bandwidth_min,included_in_system_energy,parent_aggregate,double_counting_note,runtime_source,source_reference,notes
HOST_MEMORY_SUBSYSTEM,host,Grace LPDDR5X memory subsystem,500,,,,,Grace memory subsystem capability upper bound,SOFTWARE_DERIVED_FROM_VENDOR_REPORTED_GRACE_MEMORY_POWER_AND_BANDWIDTH,SOFTWARE_DERIVED,4,,,first-order average Grace memory-subsystem energy per transferred bit,SOFTWARE_DERIVED_FROM_VENDOR_REPORTED_GRACE_MEMORY_POWER_AND_BANDWIDTH,SOFTWARE_DERIVED,true,false,HOST_OFFLOAD_DYNAMIC_PATH,Use this component only when not using HOST_OFFLOAD_DYNAMIC_PATH.,configs/platform/gpu_package_h200_reference.yaml -> load_platform_spec_file,NVIDIA Grace CPU memory subsystem specifications,Derived from 16 W / (500 GB/s x 8); not isolated LPDDR dynamic-read energy.
HOST_COHERENT_LINK,host,one-direction NVLink-C2C link,450,,,,,ideal one-direction NVLink-C2C upper bound,IDEAL_NVLINK_C2C_ONE_DIRECTION_UPPER_BOUND,MATCHED_REFERENCE,1.3,,,vendor-reported NVLink-C2C link energy,VENDOR_REPORTED_NVLINK_C2C_ENERGY_PER_BIT,MATCHED_REFERENCE,true,false,HOST_OFFLOAD_DYNAMIC_PATH,Use this component only when not using HOST_OFFLOAD_DYNAMIC_PATH.,configs/platform/gpu_package_h200_reference.yaml -> load_platform_spec_file,NVIDIA Grace Hopper Architecture In-Depth / GH200 whitepaper,
HOST_OFFLOAD_EFFECTIVE,host,end-to-end host-to-device transport ceiling,416.34,,,,,direct measured Grace-memory-to-Hopper H2D effective bandwidth,MEASURED_REFERENCE_GH200_H2D_EFFECTIVE_BANDWIDTH,MATCHED_REFERENCE,,,,,,,true,false,,,configs/platform/gpu_package_h200_reference.yaml -> load_platform_spec_file,task-specified GH200-class Grace-memory-to-Hopper H2D measurement,Rate aggregate only; its energy field is intentionally blank.
HOST_OFFLOAD_DYNAMIC_PATH,host,additive Grace memory plus NVLink-C2C dynamic path,,,,,,,,,5.3,,,additive dynamic aggregate = HOST_MEMORY_SUBSYSTEM + HOST_COHERENT_LINK,SOFTWARE_DERIVED_GH200_HOST_PATH_DYNAMIC_ENERGY,SOFTWARE_DERIVED,false,true,,"When this aggregate is used, do not add host memory or coherent-link components again.",configs/platform/gpu_package_h200_reference.yaml -> load_platform_spec_file,grace_lpddr5x_subsystem_energy_v0 + nvlink_c2c_energy_per_bit_v0,
CONVENTIONAL_HBM_READ,memory,GPU-local HBM service / platform interface boundary,4800,,,,,GPU-local HBM service/platform interface boundary; no separate HBM capability is modeled,VENDOR_SPEC_H200_PEAK_HBM3E_BANDWIDTH,CANONICAL_GPU_PLATFORM_BOUNDARY,1.39709798481637,,,complete canonical Conventional-HBM read access,SOFTWARE_DERIVED_FROM_CANONICAL_RESOLVER,DREAMRAM_HBM3_REFERENCE_ANALYTICAL,true,true,,,configs/cases/conventional_hbm_2x1.yaml -> calculate_memory_power; configs/platform/gpu_package_h200_reference.yaml -> load_platform_spec_file,DreamRAM HBM3 analytical reference plus canonical H200 platform boundary,Resolved decomposition: memory_internal + vertical + base_route + interface.
M3D_INTERNAL,memory,internal FEOL-aligned M3D service capability,39150.4654891722,28253.1418728726,50622.2703778643,,,slow / spatial-average / fast internal service capability,MODELING_CHOICE,EXISTING_PHYSICAL_ACCESS_LATENCY_MAP,,,,,,,true,false,M3D_TOTAL_READ,,configs/cases/orthogonal_m3d_igzo.yaml -> calculate_memory_power / derive_architecture_bandwidth,MODELING_CHOICE,Internal service capability only; no complete energy boundary is assigned.
M3D_MAT_LOCAL_READ,memory,M3D MAT-local read operation,,,,,,,,,0.1843,,,scaled MAT-local read primitive,SOFTWARE_DERIVED_FROM_CANONICAL_RESOLVER,PAPER_REPORTED,false,false,M3D_TOTAL_READ,Already included in M3D_TOTAL_READ; do not add when the aggregate read-access coefficient is used.,configs/cases/orthogonal_m3d_igzo.yaml -> calculate_memory_power / derive_architecture_bandwidth,"{'source': 'IEDM2026_HaotongZhu_V5', 'classification': 'PAPER_REPORTED', 'accounting_level': 'SPICE_EXTRACTED_MAT_LOCAL_OPERATION_ENERGY', 'sensing_included': True, 'distributed_rc_included': True, 'accounting_note': 'Full-row SPICE includes distributed WWL/WBL/RWL/RBL RC and sensing.'}",
M3D_GLOBAL_ROUTING,memory,M3D global control routing,,,,,,,,,0.00145840021626298,,,global word/write/control routing contribution,SOFTWARE_DERIVED_FROM_CANONICAL_RESOLVER,MODELING_CHOICE_ELECTRICAL_ROUTING,false,false,M3D_TOTAL_READ,Already included in M3D_TOTAL_READ; do not add when the aggregate read-access coefficient is used.,configs/cases/orthogonal_m3d_igzo.yaml -> calculate_memory_power / derive_architecture_bandwidth,MODELING_CHOICE,
M3D_MIV,memory,vertical MIV transport,,,,,,,,,0.00244586211181641,,,MIV contribution per delivered read bit,resolved,DERIVED_FROM_REFERENCE,false,false,M3D_TOTAL_READ,Already included in M3D_TOTAL_READ; do not add when the aggregate read-access coefficient is used.,configs/cases/orthogonal_m3d_igzo.yaml -> calculate_memory_power / derive_architecture_bandwidth,DREAMRAM_DATE2026_TSV_REFERENCE,
M3D_FEOL_ROUTE,memory,nearest-edge FEOL route,,,,,,,,,0.167056313345242,,,FEOL route contribution per delivered read bit,CONDITIONAL_MODELING_CHOICE,"{'resistance': {'classification': 'MODELING_CHOICE', 'status': 'CONDITIONAL_MODELING_CHOICE', 'source_note': '2 ohm/um is the current nominal effective distributed FEOL interconnect resistance for architecture-level latency modeling. It is not a measured FEOL value and is not derived from explicit metal geometry.'}, 'driver_resistance': {'classification': 'MODELING_CHOICE', 'status': 'CONDITIONAL_MODELING_CHOICE', 'source_note': 'fixed endpoint effective resistance placeholder'}, 'load_capacitance': {'classification': 'MODELING_CHOICE_PLACEHOLDER', 'status': 'CONDITIONAL_MODELING_CHOICE', 'source_note': 'independent FEOL endpoint load placeholder; not measured'}}",false,false,M3D_TOTAL_READ,Already included in M3D_TOTAL_READ; do not add when the aggregate read-access coefficient is used.,configs/cases/orthogonal_m3d_igzo.yaml -> calculate_memory_power / derive_architecture_bandwidth,MODELING_CHOICE,
M3D_CONTACTLESS_INTERFACE,memory,aggregate contactless / inductive-coupling interface,15900,,,,,slab count * links/slab * link rate,DERIVED_FROM_ARCHITECTURE,MODELING_CHOICE,0.5,,,contactless TX/RX/coil link contribution,PAPER_REPORTED_INDUCTIVE_LINK_ENERGY,PAPER_REPORTED,true,false,M3D_TOTAL_READ,Already included in M3D_TOTAL_READ; do not add when the aggregate read-access coefficient is used.,configs/cases/orthogonal_m3d_igzo.yaml -> calculate_memory_power / derive_architecture_bandwidth,"0.5 pJ/bit is the link energy reported for a 7-nm FinFET encoding-less inductive-coupling interface at 12.8 Gb/s (K. Shiba et al., IEEE SSC-L, vol. 6, pp. 65-68, 2023, DOI: 10.1109/LSSC.2023.3252607), the same value adopted by Mitarai et al. (MOSAIC, IEEE Symp. VLSI Circuits 2026) as the I/O energy of a contactless die-to-die interface at 8 Gb/s. The TX/RX/coil link path is covered by the measurement; whether clock distribution and SerDes are included is not established by repository evidence, so clock and serialization remain unconfirmed components and the value is still swept in sensitivity analyses.",
M3D_TOTAL_READ,memory,complete nominal M3D read-access path,15900,,,,,"raw M3D capability = min(spatial-average internal, contactless interface)",COIL_INTERFACE,CANONICAL_EFFECTIVE_BANDWIDTH_RESOLVER,0.855260575673321,,,MAT + global routing + MIV + FEOL + contactless,SOFTWARE_DERIVED_FROM_CANONICAL_RESOLVER,COMPLETE_NOMINAL_ANALYTICAL_M3D_READ_ACCESS,true,true,,Use this aggregate for normal system accounting; do not add its component rows.,configs/cases/orthogonal_m3d_igzo.yaml -> calculate_memory_power / derive_architecture_bandwidth -> resolve_effective_bandwidth,canonical orthogonal_m3d_igzo case and formal memory-power resolver,
GPU_MEMORY_INTERFACE,gpu,H200 peak HBM3e memory interface,4800,,,,,vendor peak HBM3e bandwidth,VENDOR_SPEC_H200_PEAK_HBM3E_BANDWIDTH,MATCHED_REFERENCE,,,,,,,true,false,,,configs/platform/gpu_package_h200_reference.yaml -> load_platform_spec_file,NVIDIA H200 SXM datasheet (catalogued in docs/research/HBM_benchmark_landscape_2026-08-25.md),Energy intentionally blank: the GPU decode coefficient is not interface energy.
GPU_SUSTAINED_BANDWIDTH_SERVICE,gpu,nominal GPU-side sustained service after transfer ceiling,2400,,4800,,0.5,sustained actual = eta_gpu_bandwidth * transfer ceiling,MODELING_CHOICE_NOMINAL_GPU_BANDWIDTH_UTILIZATION,MODELING_CHOICE,,,,,,,true,false,,,configs/platform/gpu_package_h200_reference.yaml -> load_platform_spec_file -> resolve_gpu_bandwidth_service,configs/platform/gpu_package_h200_reference.yaml,"Formal roofline performance, M3D dynamic read power, and GPU bandwidth-bound dynamic power consume this sustained rate."
GPU_DECODE_DYNAMIC,gpu,GPU-only bandwidth-bound decode dynamic accounting,2400,,4800,,0.5,GPU dynamic power uses nominal sustained actual bandwidth,VENDOR_SPEC_H200_PEAK_HBM3E_BANDWIDTH,CANONICAL_GPU_PLATFORM_BOUNDARY,15.29,12.56,18.02,GPU decode dynamic energy normalized per actual/sustained transferred bit,MODELING_CHOICE_RANGE_MIDPOINT,REFERENCE_DERIVED_RANGE,true,true,,Independent of memory read energy and may be added to M3D_TOTAL_READ; no memory-energy subtraction is applied.,configs/platform/gpu_package_h200_reference.yaml -> load_platform_spec_file,docs/research/gpu_platform_table_2026-09-06.csv; arXiv:2604.10852v1; NVIDIA H200 datasheet; ai-gpu-energy-optimizer whitepaper; h200-gpu-benchmark-suite,Range endpoints are provenance/sensitivity values; runtime nominal comes only from platform YAML and is normalized by eta_bw * peak bandwidth.
