title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
AI revolution driven by memory technology innovation,J Song,2025,11,"… Memory (HBM) and Processing-In-Memory (PIM) technology, … reported benchmark results utilizing HBM-PIM at the recent … superior energy efficiency (1.9 pJ/bit compared to 3.5 pJ/bit for …",4KLFYUOSHUwJ,"J Song - 2025 IEEE International Solid-State Circuits …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10904790/,unknown,unknown
Dear-pim: Processing-in-memory architecture with disaggregated execution of all-bank requests,"J Hyun, M Seo, S Jeong, HJ Lee…",2025,3,"… 80GB GPU [19], HBM-PIM with sequential activation scheme … For energy efficiency evaluation, we evaluate DEAR-PIM … aligns with the 2.75 pJ/bit reported in the HBM-PIM paper [10]. …",KyQuFZmmelwJ,"J Hyun, M Seo, S Jeong, HJ Lee… - … Design, Automation & …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10992691/,unknown,unknown
A Coalesced Tensor Reduction Architecture for Scalable All-Bank PIM Execution,"T Park, HJ Lee, CE Rhee",2026,0,"… and performance bottlenecks in processing in memory (PIM) … (TRAM) architecture in HBM-PIM environments to address the … amplifiers, the energy per bit of data movement (3.5pJ/bit) is …",GYdkYFuPEPMJ,"T Park, HJ Lee, CE Rhee - … on Emerging and Selected Topics in …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11363574/,unknown,unknown
Bridging the memory-process divide: A Review of Heterogeneous Integration for Energy-Efficient Exascale Systems,"Y Chamala, A Adwaith…",2025,0,"… Adding to these benefits is processing-in-memory (PIM), … ’s HBM-PIM, see up to 2x savings in energy consumption for AI … SerDes power consumption to 19.2 pJ/bit, 5× less than electrical …",XIbD8Bq3vQkJ,"Y Chamala, A Adwaith… - 2025 8th International …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11176672/,unknown,unknown
3d-path: A hierarchy lut processing-in-memory accelerator with thermal-aware hybrid bonding integration,"Z Yue, Y Wang, C Li, S Wei, Y Hu, S Yin",2025,12,"… For instance, HBM-PIM implementations can lead to a 50% … architecture that preserves the energy efficiency of SM format … , the energy per bit for DIMM is 12 pJ/bit, for HBM is 4 pJ/bit, …",FaloeVKS9yAJ,"Z Yue, Y Wang, C Li, S Wei, Y Hu, S Yin - Proceedings of the 58th IEEE …, 2025 - dl.acm.org",['https://dl.acm.org/doi/pdf/10.1145/3725843.3756087'],https://dl.acm.org/doi/abs/10.1145/3725843.3756087,unknown,unknown
In-Storage Read-Centric Seed Location Filtering Using 3D-NAND Flash for Genome Sequence Analysis,"YK Zheng, ML Wei, HY Cheng, CL Yang…",2025,7,"… , and implementing them with processingin-memory (PIM) … (2) HBM-PIM. We compare with a PIM design that integrates … on [71], with access energy around 4 pJ/bit. For NAND-IMS, …",JmvwXMES_xIJ,"YK Zheng, ML Wei, HY Cheng, CL Yang… - Proceedings of the 30th …, 2025 - dl.acm.org",['https://dl.acm.org/doi/pdf/10.1145/3658617.3697545'],https://dl.acm.org/doi/abs/10.1145/3658617.3697545,unknown,unknown
Pim is all you need: A cxl-enabled gpu-free system for large language model inference,"Y Gu, A Khadem, S Umesh, N Liang, X Servot…",2025,102,"… read accesses of GPU, which consumes 3.97 pJ/bit [78]. … a) depicts CENT, which utilizes processing-in-memory (PIM) technol… Each HBM-PIM device consumes 116W and has a memory …",SVf12Gh_vxAJ,"Y Gu, A Khadem, S Umesh, N Liang, X Servot… - Proceedings of the 30th …, 2025 - dl.acm.org",['https://dl.acm.org/doi/pdf/10.1145/3676641.3716267'],https://dl.acm.org/doi/abs/10.1145/3676641.3716267,unknown,unknown
A CIM-Aware Roofline Framework for Evaluating Compute-in-Memory Adaptation in Large Language Model Inference,"L Ma, J Liu, X Li",2026,0,"… attributes to specific CIM architectures (HBM-PIM, SRAM-CIM/… Access energy εmem (pJ/bit) measures the energy cost per … decoding with a processing-in-memory-enabled computing …",ng5TBQa1busJ,"L Ma, J Liu, X Li - 2026 6th International Conference on …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11642022/,unknown,unknown
The Hidden Energy Cost of Scaling AI Hardware: A Comparative Analysis of Manufacturing and Operational Energy,"E Salman, A Abdurrob",2026,0,… HBM3 interface energy efficiencies of 1.7–3.4 pJ/bit [17… Samsung’s HBM-PIM demonstrated up to 2.5× performance … Processing-in-memory also avoids software sharding constraints by …,8tEChhqceykJ,"E Salman, A Abdurrob - 2026 - researchsquare.com",['https://www.researchsquare.com/article/rs-10120690/latest.pdf'],https://www.researchsquare.com/article/rs-10120690/latest,unknown,unknown
Pim-ai: A novel architecture for high-efficiency llm inference,"C Ortega, Y Falevoz, R Ayrignac",2024,24,"… ’s HBM PIM [56], seem more realistic as a short-term solution: … Therefore, we account 20 pJ/bit from GPU to switch and … Energy efficiency impact of processing in memory: A …",kZ_6iLlUmsQJ,"C Ortega, Y Falevoz, R Ayrignac - arXiv preprint arXiv:2411.17309, 2024 - arxiv.org",['https://arxiv.org/pdf/2411.17309'],https://arxiv.org/abs/2411.17309,unknown,unknown
